ATENÇÃO PRIMÁRIA À SAÚDE;;;;;;;;;;;;
DIRETRIZ 1 - Fortalecer a Atenção Primária à Saúde como ordenadora da Rede de Atenção à Saúde, garantindo acesso, longitudinalidade, coordenação do cuidado, integralidade e equidade à população de Parauapebas.;;;;;;;;;;;;
OBJETIVO 1.1 - Ampliar e qualificar a Atenção Primária à Saúde, assegurando cobertura, melhoria das infraestruturas, aprimoramento do processo de trabalho e valorização dos profissionais, resolutividade e coordenação do cuidado, com foco na universalização do acesso, à abrangência do cuidado integral, promoção da saúde e à prevenção de doenças e agravos.;;;;;;;;;;;;
Nº;Descrição da Meta;Indicador de Meta;Linha de Base do Indicador;;;Meta do PMS 2026 a 2029;Unidade de medida;Subfunção;2026;2027;2028;2029
;;;Ano ;Valor da linha de base ;Unidade de medida;;;;;;;
6.1.3;Garantir o funcionamento contínuo e qualificado dos serviços da Secretaria Municipal de saúde no município com o provimento de materiais de consumo e serviços de manutenção.;Serviços da SEMSA abastecidos regularmente com materiais de consumo e serviços de manutenções essenciais.;2024;S/I;percentual;≥90%;percentual;122;≥75%;≥80%;≥85%;≥90% 
6.1.4;Qualificar as estruturas da Secretaria Municipal de Saúde por meio da aquisição de bens permanentes (equipamentos, mobiliários e etc.);Percentual de serviços da SEMSA com equipamentos, mobiliários (bens permanentes) adequados às suas atividades.;2024;S/I;percentual;90%;percentual;122;75%;80%;85%;90%
6.1.5;Identificar e inventariar, anualmente, os bens permanentes inservíveis da Secretaria Municipal da Saúde (SEMSA), com vistas à adoção das providências administrativas para desfazimento e/ou leilão público.;Percentual de bens permanentes inservíveis identificados e inventariados.;2024;S/I;percentual;100%;Percentual;122;100%;100%;100%;100%
6.1.6;Realizar manutenção preventiva, corretiva e/ou reforma predial nas unidades próprias vinculadas à Secretaria Municipal da Saúde (SEMSA), conforme diagnóstico técnico das áreas.;Percentual de unidades de saúde com manutenção e/ou reforma executada no período.;2024;S/I;percentual;100%;Percentual;122;40%;60%;80%;100%
6.1.7;Assegurar, anualmente, a locação de imóveis que atendam às exigências técnicas, sanitárias e de segurança, destinados ao funcionamento das unidades da Secretaria Municipal da Saúde (SEMSA) que não dispõem de sede própria.;Percentual de unidades sem sede própria com contrato de locação vigente e regular.;2024;S/I;percentual;100%;Percentual;122;100%;100%;100%;100%
6.1.8;Assegurar a disponibilidade de frota de veículos dimensionada como necessária para atender às demandas operacionais da Secretaria Municipal da Saúde (SEMSA).;Percentual de veículos disponíveis em relação à frota necessária planejada.;2024;S/I;percentual;≥90%;Percentual;122;≥90%;≥90%;≥90%;≥90%
6.1.9;Mapear, padronizar e regulamentar os processos administrativos e operacionais prioritários da Secretaria Municipal de Saúde, garantindo maior eficiência, transparência e segurança institucional.;Percentual de processos administrativos padronizados e regulamentados.;2024;S/I;percentual;≥90%;Percentual;122;≥60%;≥70%;≥80%;≥90%
6.1.10;Estruturar e qualificar o suporte administrativo às unidades e setores da Secretaria Municipal de Saúde, garantindo atendimento tempestivo, padronizado e monitorado das demandas internas.;Percentual de demandas administrativas atendidas dentro do prazo estabelecido.;2024;S/I;percentual;≥90%;percentual;122;≥75%;≥80%;≥85%;≥90%
;;;;;;;;;;;;
OBJETIVO 6.2: Fortalecer o planejamento, monitoramento e avaliação da gestão municipal de saúde, garantindo organização das ações, uso eficiente dos recursos e alinhamento às diretrizes do SUS.;;;;;;;;;;;;
Nº;Descrição da Meta;Indicador de Meta;Linha de Base do Indicador;;;Meta do PMS 2026 a 2029;Unidade de medida;Subfunção;2026;2027;2028;2029
;;;;;;;;;;;;
;;;Ano ;Valor da linha de base ;Unidade de medida;;;;;;;
6.2.1;Elaborar, registrar no DigiSUS e encaminhar para o CMS o Plano Municipal de Saúde (PMS) 2026–2029 para análise e deliberação em conformidade com as diretrizes do Ministério da Saúde.;Plano Municipal de Saúde elaborado, registrado no DigiSUS e encaminhado ao CMS para análise e deliberação.;2024;1;número absoluto;1;número absoluto;122;1;0;0;0
6.2.2;Elaborar, registrar no DigiSUS a Programação Anual de Saúde (PAS) e encaminhar para análise e aprovação do CMS em conformidade com as diretrizes do Ministério da Saúde.;Programação Anual de Saúde elaborada, registrada no DigiSUS encaminhada ao CMS para análise e aprovação.;2024;1;número absoluto;4;número absoluto;122;1;1;1;1
6.2.3;Elaborar e registrar no sistema DigiSUS, os Relatórios Detalhados do Quadrimestre Anterior (RDQA), encaminhando-os para análise e considerações do CMS atendendo as normativas do Ministério da Saúde.;RDQA elaborados e registrados no DigiSUS e encaminhado para análise e considerações do CMS.;2024;3;número absoluto;12;número absoluto;122;3;3;3;3
6.2.4;Elaborar e registrar no sistema DigiSUS, o Relatório Anual de Gestão (RAG) encaminhando-o para análise e deliberação do Conselho Municipal de Saúde (CMS), atendendo as normativas do Ministério da Saúde.;RAG elaborados e registrados no DigiSUS para análise e aprovação do CMS.;2024;1;número absoluto;4;número absoluto;122;1;1;1;1
6.2.5;Monitorar e avaliar, as metas estabelecidas no Plano Municipal de Saúde (PMS), utilizando instrumentos de acompanhamento sistemático e análise de desempenho.;Percentual de metas do PMS monitoradas e avaliadas no período.;2024;S/I;percentual;100%;percentual;122;100%;100%;100%;100%
6.2.6;Implantar, Sala de Situação em Saúde no âmbito da Secretaria Municipal da Saúde, destinada ao monitoramento de indicadores, avaliação das metas do PMS e apoio à tomada de decisão estratégica da gestão municipal.;Sala de Situação implantada e em funcionamento.;2024;0;Número absoluto;1;Número absoluto;122;1;0;0;0
;;;;;;;;;;;;
6.2.7;Implantar e disponibilizar “Painel de Inteligência Estratégica” que gerencia e monitora os indicadores, serviços e produção assistencial da Secretaria Municipal da Saúde (SEMSA) integrando dados do e-SUS APS e e-SUS Ampliado transformando informação em inteligência estratégica para subsidiar o planejamento, a avaliação rigorosa e a tomada de decisão da gestão municipal.;Painel gerencial da SEMSA implantado e em funcionamento.;2024;0;número absoluto;1;número absoluto;122;1;0;0;0
6.2.8;Implantar e qualificar as linhas de cuidado prioritárias da Secretaria Municipal da Saúde (SEMSA), em conformidade com as diretrizes do Ministério da Saúde, visando à organização da Rede de Atenção à Saúde e à integralidade do cuidado.;Número de linhas de cuidado prioritárias implantadas e/ou qualificadas.;2024;1;número absoluto;17;número absoluto;122;4;4;4;5
6.2.9;Implantar o Núcleo de Avaliação em Economia, Tecnologia e Inovação em Saúde no âmbito da Secretaria Municipal da Saúde (SEMSA), com a estruturação e operacionalização de um Banco de Dados institucional em tecnologias, incorporação tecnológica e avaliação econômica em saúde.;Banco de dados institucional estruturado e em funcionamento;2024;0;número absoluto;1;número absoluto;122;1;0;0;0
6.2.10;Monitorar periodicamente a regularidade da alimentação, validação e envio das informações nos Sistemas de Informação em Saúde, mediante análise técnica dos relatórios de produção e cadastros, subsidiando a gestão na adoção de medidas corretivas quando necessário.;Percentual de sistemas monitorados quanto à regularidade de envio no período.;2024;S/I;percentual;100%;Percentual;122;100%;100%;100%;100%
6.2.11;Implantar Grupo Condutor da Rede de Atenção à Saúde (RAS) no âmbito da Secretaria Municipal da Saúde (SEMSA), visando ao fortalecimento da governança da RAS, à organização dos fluxos assistenciais e ao apoio técnico às áreas executoras da rede.;Grupo Condutor da RAS implantado e em funcionamento.;2024;0;número absoluto;1;número absoluto;122;1;0;0;0
6.2.12;Implantar e operacionalizar o prontuário eletrônico (priorizando e-SUS) nos serviços da Secretaria Municipal da Saúde (SEMSA), garantindo a qualificação dos registros assistenciais, a integração das informações entre os pontos de atenção e a segurança dos dados em saúde.;Percentual de unidades de saúde com prontuário eletrônico implantado e em funcionamento.;2024;S/I;percentual;≥90%;percentual;122;≥90%;≥90%;≥90%;≥90%
OBJETIVO 6.3: Fortalecer a gestão financeira do Fundo Municipal de Saúde, assegurando planejamento, execução orçamentária eficiente, transparência na aplicação dos recursos e conformidade com as normas do SUS.;;;;;;;;;;;;
Nº;Descrição da Meta;Indicador de Meta;Linha de Base do Indicador;;;Meta do PMS 2026 a 2029;Unidade de medida;Subfunção;2026;2027;2028;2029
;;;Ano ;Valor da linha de base ;Unidade de medida;;;;;;;
6.3.1;Implantar/Implementar a gestão de centros de custos na rede de saúde do SUS conforme modulo disponível no ApuraSUS. ;Percentual de implantação dos centros de custos e Eficácia do gasto público com saúde através da Gestão de Custos;2024;5%;percentual;80%;percentual;122;29%;57%;71%;80%
OBJETIVO 6.4: Fortalecer a Ouvidoria Municipal do SUS como instrumento de participação social, transparência e melhoria contínua dos serviços de saúde, garantindo escuta qualificada e resposta oportuna às manifestações dos usuários.;;;;;;;;;;;;
Nº;Descrição da Meta;Indicador de Meta;Linha de Base do Indicador;;;Meta do PMS 2026 a 2029;Unidade de medida;Subfunção;2026;2027;2028;2029
;;;;;;;;;;;;
;;;Ano ;Valor da linha de base ;Unidade de medida;;;;;;;
6.4.1;Aumentar o percentual de manifestações respondidas ao cidadão em até 30 dias do recebimento na Ouvidoria SUS.;Percentual de manifestações respondidas ao cidadão em até 30 dias do recebimento.;2024;60%;percentual;90%;percentual;122;70%;75%;80%;90%
6.4.2;Reduzir o Tempo Médio de Resposta Conclusiva da Ouvidoria SUS.;Tempo Médio (em dias corridos) entre a abertura da manifestação e a comunicação da resposta conclusiva ao cidadão.;2024;30;número absoluto;13;número absoluto;122;20;17;15;13
OBJETIVO 6.5: Assegurar o funcionamento regular e qualificado do Conselho Municipal de Saúde, promovendo participação social, transparência e acompanhamento das ações da gestão municipal.;;;;;;;;;;;;
Nº;Descrição da Meta;Indicador de Meta;Linha de Base do Indicador;;;Meta do PMS 2026 a 2029;Unidade de medida;Subfunção;2026;2027;2028;2029
;;;Ano ;Valor da linha de base;Unidade de medida;;;;;;;
6.5.1;Realizar capacitações continuada para os conselheiros de saúde e comunidade;Nº de ações realizadas;2024;0;número absoluto;≥ 4;número absoluto;122;1;1;1;1
6.5.2;Realizar as Conferências Municipais de Saúde.;Nº de conferencias realizadas;2024;2;número absoluto;2;número absoluto;122;1;0;1;0
6.5.3;Criar e manter canais de comunicação digital do CMS para divulgação das reuniões, pautas e deliberações.;Número de canais de informações criados;2024;0;número absoluto;3;número absoluto;122;1;1;1;0
;;;;;;;;;;;;
GESTÃO DO TRABALHO;;;;;;;;;;;;
DIRETRIZ 7: Fortalecer a gestão do trabalho e o desenvolvimento dos profissionais de saúde, promovendo condições adequadas de trabalho, valorização, qualificação contínua e cuidado integral à saúde do trabalhador do SUS.;;;;;;;;;;;;
OBJETIVO 7.1: Implementar ações de aprimoramento dos processos de trabalho no SUS, promovendo formação e educação continuada, humanização, qualificação e valorização dos trabalhadores com ênfase no cuidado e acompanhamento à saúde do trabalhador.;;;;;;;;;;;;
Nº;Descrição da Meta;Indicador de Meta;Linha de Base do Indicador;;;Meta do PMS 2026 a 2029;Unidade de medida;Subfunção;2026;2027;2028;2029
;;;;;;;;;;;;
;;;Ano ;Valor da linha de base;Unidade de medida;;;;;;;
7.1.1;Fortalecer e ampliar as ações integradas de promoção, prevenção, assistência e reabilitação à saúde e qualidade de vida dos trabalhadores da SEMSA.;Percentual de trabalhadores da SEMSA alcançados com ações de prevenção e promoção a saúde e qualidade de vida no trabalho.;2024;61%;percentual;75%;percentual;122;64,50%;68%;71,50%;75%
7.1.2;Implantar Plano de Educação Permanente com agenda integrada de capacitações.;Plano de Educação Permanente com agenda integrada de capacitações implantado.;2024;0;percentual;50%;percentual;122;20%;30%;40%;50%
7.1.3;Instituir o Plano Municipal de Integração Ensino-Serviço no âmbito da SEMSA.;Plano Municipal de Integração Ensino-Serviço da SEMSA, instituído.;2024;0;número absoluto;1;número absoluto;122;1;0;0;0
7.1.4;Implantar Centro de Capacitação de Educação Permanente da SEMSA.;Centro de Capacitação de Educação Permanente da SEMSA implantado.;2024;0;número absoluto;1;número absoluto;122;0;1;0;0
7.1.5;Fortalecer a política de Humanização no SUS de Parauapebas;Resultado do Diagnóstico situacional das práticas de humanização no SUS e taxas de implantação dos GTHs;2024;0;número absoluto;1;número absoluto;122;1;0;0;0
;;;;;;;;;;;;
