ATENÇÃO PRIMÁRIA À SAÚDE;;;;;;;;;;;;
DIRETRIZ 1 - Fortalecer a Atenção Primária à Saúde como ordenadora da Rede de Atenção à Saúde, garantindo acesso, longitudinalidade, coordenação do cuidado, integralidade e equidade à população de Parauapebas.;;;;;;;;;;;;
OBJETIVO 1.1 - Ampliar e qualificar a Atenção Primária à Saúde, assegurando cobertura, melhoria das infraestruturas, aprimoramento do processo de trabalho e valorização dos profissionais, resolutividade e coordenação do cuidado, com foco na universalização do acesso, à abrangência do cuidado integral, promoção da saúde e à prevenção de doenças e agravos.;;;;;;;;;;;;
Nº;Descrição da Meta;Indicador de Meta;Linha de Base do Indicador;;;Meta do PMS 2026 a 2029;Unidade de medida;Subfunção;2026;2027;2028;2029
;;;Ano ;Valor da linha de base ;Unidade de medida;;;;;;;
2.1.4;Promover a renovação da frota do SAMU 192, assegurando conformidade com as diretrizes do Ministério da Saúde e melhoria do tempo-resposta. ;Número de ambulâncias renovadas ;2024;0;número absoluto;2;número absoluto;302;0;1;0;1
2.1.5;Implantar serviço de motolância para o SAMU 192 com aquisição do veículo e habilitação do serviço. ;Serviço de motolância SAMU 192 habitado.;2024;0;número absoluto;2;número absoluto;122;0;2;0;0
;;;;;;;;302;;;;
2.1.6;Reformar a base descentralizada do SAMU 192 qualificando a infraestrutura física e melhorando as condições de trabalho da equipe. ;Número de Base descentralizada SAMU 192 reformada;2024;0;número absoluto;2;número absoluto;302;0;1;0;1
2.1.7;Realizar e manter a qualificação do Serviço Móvel de Urgência SAMU 192 junto ao MS. ;Número  de qualificação do SAMU 192 junto ao MS.;2024;0;número absoluto;2;número absoluto;302;1;0;1;0
2.1.8;Reduzir o tempo médio de resposta de atendimento do SAMU de 20 minutos em 2024 para 15 minutos até 2029.;Tempo médio de resposta de atendimento das equipes do SAMU;2024;20;número absoluto;≤15;número absoluto;302;≤19;≤17;≤16;≤15
2.1.9;Solicitar ao MS alteração de modalidade da UPA Sebastião Barbosa, para Unidade de Pronto Atendimento (UPA) opção VI de funcionamento.  ;UPA habilitada na modalidade opção VI de funcionamento.;2024;1- Tipo II;número absoluto;1 - Tipo VIII;número absoluto;302;0;1 - Tipo VIII;0;0
2.1.10;Solicitar e manter a qualificação dos serviços da UPA Sebastião Barbosa junto ao MS. ;UPA qualificada junto ao MS. ;2024;1;número absoluto;1;número absoluto;302;0;0;1;0
2.1.11;Ampliar o serviço de Pronto Atendimento com a construção e habilitação de uma unidade opção  III de funcionamento.;UPA opção III construída e habilitada ;2024;1;número absoluto;1;número absoluto;302;0;0;0;1
2.1.12;Reformar a UPA Sebastião Barbosa qualificando a infraestrutura física e melhorando as condições de trabalho e de atendimento à população. ;Número de reforma na UPA Sebastião Barbosa.;2024;0;número absoluto;2;número absoluto;302;0;1;0;1
2.1.13;Realizar mudança da tipologia da porta de entrada de urgência do Hospital Geral de Parauapebas para Hospital Especializado Tipo II. ;Hospital Geral de Parauapebas porta de entrada de urgência especializada tipo II habilitado junto ao MS.;2024;0;número absoluto;1;número absoluto;302;0;0;1;0
2.1.14;Qualificar a porta de entrada de urgência do Hospital Geral de Parauapebas. ;HGP qualificado ;2024;0;número absoluto;1;número absoluto;302;0;0;0;1
2.1.15;Ampliar número de leitos de terapia intensiva adulta no HGP. ;Número de leitos de UTI implantados e habilitados;2024;10;número absoluto;10;número absoluto;302;0;0;10;0
2.1.16;Qualificar leitos de terapia intensiva adulta no HGP. ;Qualificar leitos;2024;10;número absoluto;10;número absoluto;302;0;0;0;20
2.1.17;Implanta leitos de terapia intensiva infantil.  ;Número de leitos de UTI infantil implantados e habilitados;2024;0;número absoluto;10;número absoluto;302;0;0;10;0
2.1.18;Implantar o serviço de unidade coronariana, solicitando para MS investimento de implantação de leitos de unidade coronariana (UCO). ;Número de leitos UCO implantados. ;2024;0;número absoluto;1;número absoluto;302;0;0;1;0
2.1.19;Habilitar o HGP junto ao MS como Centro de atendimento de urgência tipo II referência para atendimento aos pacientes com AVC.  ;HGP habilitado como centro de referência tipo II para AVC.;2024;0;número absoluto;1;número absoluto;302;0;0;1;0
2.1.20;Implantar e qualificar a Linha de cuidado ao trauma no HGP  ;Linha de cuidado implantada ;2024;S/I;número absoluto;1;número absoluto;302;0;1;0;0
2.1.21;Manter os leitos de enfermaria de retaguarda clínica ;Manter leitos de retaguarda clínica implantados.;2024;100%;percentual;100%;percentual;302;100%;100%;100%;100%
2.1.22;Qualificar os leitos de enfermaria de retaguarda clínica;Qualificar leitos;2021;100%;percentual;100%;percentual;302;0;0;100%;0
2.1.23;Implantar unidade de cuidados prolongados. ;Número de leitos cuidados prolongados implantados.;2024;0;número absoluto;15;número absoluto;302;0;0;15;0
